Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description,Source,AssetStatus,ODPCategories,ODPCategories_Keywords
Better Business Partnership,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/better-business-partnership1,https://open-data-perth-kinross.hub.arcgis.com/datasets/19c734e9091e4642a3aebfda031f49e2_5.zip?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,Shapefile,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,ZIP,,business;economy;open data;partnership;trade,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>The aim is to help traders comply with the law while improving consumer protection through a partnership approach.</span></p></div>,ckan API,,Business and Economy;Law and Licensing,"{'Business and Economy': ['business'], 'Law and Licensing': ['law']}"
Better Business Partnership,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/better-business-partnership1,https://open-data-perth-kinross.hub.arcgis.com/datasets/19c734e9091e4642a3aebfda031f49e2_5.kml?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,KML,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,KML,,business;economy;open data;partnership;trade,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>The aim is to help traders comply with the law while improving consumer protection through a partnership approach.</span></p></div>,ckan API,,Business and Economy;Law and Licensing,"{'Business and Economy': ['business'], 'Law and Licensing': ['law']}"
Bus Stops,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/bus-stops,https://open-data-perth-kinross.hub.arcgis.com/maps/675d9da2b89a422a8f9cc805f1f071cb_5,ArcGIS Hub Dataset,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,41323,B,HTML,,bus stop;transport,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Bus stop locations in Perth and Kinross. </span><span>The bus stop data is collected by Perth and Kinross Council and shared with the Department of Transport as part of the national public transport access nodes (NaPTAN) national dataset.</span></p></div>,ckan API,,Council and Government;Transportation,"{'Council and Government': ['council'], 'Transportation': ['bus', 'transport']}"
Bus Stops,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/bus-stops,https://services-eu1.arcgis.com/WD0cvOmDKf7CA0Xy/arcgis/rest/services/Bus_Stops/FeatureServer/5,ArcGIS GeoService,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,6577,B,ARCGIS GEOSERVICE,,bus stop;transport,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Bus stop locations in Perth and Kinross. </span><span>The bus stop data is collected by Perth and Kinross Council and shared with the Department of Transport as part of the national public transport access nodes (NaPTAN) national dataset.</span></p></div>,ckan API,,Council and Government;Transportation,"{'Council and Government': ['council'], 'Transportation': ['bus', 'transport']}"
Bus Stops,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/bus-stops,https://open-data-perth-kinross.hub.arcgis.com/datasets/675d9da2b89a422a8f9cc805f1f071cb_5.csv?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,CSV,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,CSV,,bus stop;transport,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Bus stop locations in Perth and Kinross. </span><span>The bus stop data is collected by Perth and Kinross Council and shared with the Department of Transport as part of the national public transport access nodes (NaPTAN) national dataset.</span></p></div>,ckan API,,Council and Government;Transportation,"{'Council and Government': ['council'], 'Transportation': ['bus', 'transport']}"
Bus Stops,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/bus-stops,https://open-data-perth-kinross.hub.arcgis.com/datasets/675d9da2b89a422a8f9cc805f1f071cb_5.geojson?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,GeoJSON,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,GEOJSON,,bus stop;transport,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Bus stop locations in Perth and Kinross. </span><span>The bus stop data is collected by Perth and Kinross Council and shared with the Department of Transport as part of the national public transport access nodes (NaPTAN) national dataset.</span></p></div>,ckan API,,Council and Government;Transportation,"{'Council and Government': ['council'], 'Transportation': ['bus', 'transport']}"
Bus Stops,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/bus-stops,https://open-data-perth-kinross.hub.arcgis.com/datasets/675d9da2b89a422a8f9cc805f1f071cb_5.zip?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,Shapefile,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,ZIP,,bus stop;transport,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Bus stop locations in Perth and Kinross. </span><span>The bus stop data is collected by Perth and Kinross Council and shared with the Department of Transport as part of the national public transport access nodes (NaPTAN) national dataset.</span></p></div>,ckan API,,Council and Government;Transportation,"{'Council and Government': ['council'], 'Transportation': ['bus', 'transport']}"
Bus Stops,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/bus-stops,https://open-data-perth-kinross.hub.arcgis.com/datasets/675d9da2b89a422a8f9cc805f1f071cb_5.kml?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,KML,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,KML,,bus stop;transport,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Bus stop locations in Perth and Kinross. </span><span>The bus stop data is collected by Perth and Kinross Council and shared with the Department of Transport as part of the national public transport access nodes (NaPTAN) national dataset.</span></p></div>,ckan API,,Council and Government;Transportation,"{'Council and Government': ['council'], 'Transportation': ['bus', 'transport']}"
Car Parking Points,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-parking-points,https://open-data-perth-kinross.hub.arcgis.com/maps/92d7dc336fa4487abe57af06775cba95_6,ArcGIS Hub Dataset,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,41447,B,HTML,,car park;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Location of Car Parks in Perth &amp; Kinross with associated information. </span></p></div>,ckan API,,Housing and Estates;Parks / Recreation;Sport and Leisure;Transportation,"{'Housing and Estates': ['parking'], 'Parks / Recreation': ['parks'], 'Sport and Leisure': ['parks'], 'Transportation': ['car', 'car parks', 'parking']}"
Car Parking Points,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-parking-points,https://services-eu1.arcgis.com/WD0cvOmDKf7CA0Xy/arcgis/rest/services/Car_Parking_Points/FeatureServer/6,ArcGIS GeoService,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,10133,B,ARCGIS GEOSERVICE,,car park;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Location of Car Parks in Perth &amp; Kinross with associated information. </span></p></div>,ckan API,,Housing and Estates;Parks / Recreation;Sport and Leisure;Transportation,"{'Housing and Estates': ['parking'], 'Parks / Recreation': ['parks'], 'Sport and Leisure': ['parks'], 'Transportation': ['car', 'car parks', 'parking']}"
Car Parking Points,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-parking-points,https://open-data-perth-kinross.hub.arcgis.com/datasets/92d7dc336fa4487abe57af06775cba95_6.csv?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,CSV,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,CSV,,car park;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Location of Car Parks in Perth &amp; Kinross with associated information. </span></p></div>,ckan API,,Housing and Estates;Parks / Recreation;Sport and Leisure;Transportation,"{'Housing and Estates': ['parking'], 'Parks / Recreation': ['parks'], 'Sport and Leisure': ['parks'], 'Transportation': ['car', 'car parks', 'parking']}"
Car Parking Points,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-parking-points,https://open-data-perth-kinross.hub.arcgis.com/datasets/92d7dc336fa4487abe57af06775cba95_6.geojson?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,GeoJSON,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,GEOJSON,,car park;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Location of Car Parks in Perth &amp; Kinross with associated information. </span></p></div>,ckan API,,Housing and Estates;Parks / Recreation;Sport and Leisure;Transportation,"{'Housing and Estates': ['parking'], 'Parks / Recreation': ['parks'], 'Sport and Leisure': ['parks'], 'Transportation': ['car', 'car parks', 'parking']}"
Car Parking Points,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-parking-points,https://open-data-perth-kinross.hub.arcgis.com/datasets/92d7dc336fa4487abe57af06775cba95_6.zip?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,Shapefile,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,ZIP,,car park;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Location of Car Parks in Perth &amp; Kinross with associated information. </span></p></div>,ckan API,,Housing and Estates;Parks / Recreation;Sport and Leisure;Transportation,"{'Housing and Estates': ['parking'], 'Parks / Recreation': ['parks'], 'Sport and Leisure': ['parks'], 'Transportation': ['car', 'car parks', 'parking']}"
Car Parking Points,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-parking-points,https://open-data-perth-kinross.hub.arcgis.com/datasets/92d7dc336fa4487abe57af06775cba95_6.kml?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,KML,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,KML,,car park;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Location of Car Parks in Perth &amp; Kinross with associated information. </span></p></div>,ckan API,,Housing and Estates;Parks / Recreation;Sport and Leisure;Transportation,"{'Housing and Estates': ['parking'], 'Parks / Recreation': ['parks'], 'Sport and Leisure': ['parks'], 'Transportation': ['car', 'car parks', 'parking']}"
Car Park Zones,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-park-zones,https://open-data-perth-kinross.hub.arcgis.com/maps/2aea35abc08146c4aad5e8650b34d95b_6,ArcGIS Hub Dataset,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,41333,B,HTML,,car park zones;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Car parking zones in Perth city centre. Parking in Perth City is divided into three zones. Different pricing and waiting periods apply depending on the zone.</span></p></div>,ckan API,,Housing and Estates;Transportation,"{'Housing and Estates': ['parking'], 'Transportation': ['car', 'parking']}"
Car Park Zones,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-park-zones,https://services-eu1.arcgis.com/WD0cvOmDKf7CA0Xy/arcgis/rest/services/Car_Park_Zones/FeatureServer/6,ArcGIS GeoService,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,7579,B,ARCGIS GEOSERVICE,,car park zones;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Car parking zones in Perth city centre. Parking in Perth City is divided into three zones. Different pricing and waiting periods apply depending on the zone.</span></p></div>,ckan API,,Housing and Estates;Transportation,"{'Housing and Estates': ['parking'], 'Transportation': ['car', 'parking']}"
Car Park Zones,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-park-zones,https://open-data-perth-kinross.hub.arcgis.com/datasets/2aea35abc08146c4aad5e8650b34d95b_6.csv?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,CSV,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,CSV,,car park zones;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Car parking zones in Perth city centre. Parking in Perth City is divided into three zones. Different pricing and waiting periods apply depending on the zone.</span></p></div>,ckan API,,Housing and Estates;Transportation,"{'Housing and Estates': ['parking'], 'Transportation': ['car', 'parking']}"
Car Park Zones,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-park-zones,https://open-data-perth-kinross.hub.arcgis.com/datasets/2aea35abc08146c4aad5e8650b34d95b_6.geojson?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,GeoJSON,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,GEOJSON,,car park zones;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Car parking zones in Perth city centre. Parking in Perth City is divided into three zones. Different pricing and waiting periods apply depending on the zone.</span></p></div>,ckan API,,Housing and Estates;Transportation,"{'Housing and Estates': ['parking'], 'Transportation': ['car', 'parking']}"
Car Park Zones,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-park-zones,https://open-data-perth-kinross.hub.arcgis.com/datasets/2aea35abc08146c4aad5e8650b34d95b_6.zip?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,Shapefile,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,ZIP,,car park zones;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Car parking zones in Perth city centre. Parking in Perth City is divided into three zones. Different pricing and waiting periods apply depending on the zone.</span></p></div>,ckan API,,Housing and Estates;Transportation,"{'Housing and Estates': ['parking'], 'Transportation': ['car', 'parking']}"
Car Park Zones,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/car-park-zones,https://open-data-perth-kinross.hub.arcgis.com/datasets/2aea35abc08146c4aad5e8650b34d95b_6.kml?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,KML,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,KML,,car park zones;open data,,No licence,<div style='text-align:Left;font-size:12pt'><p><span>Car parking zones in Perth city centre. Parking in Perth City is divided into three zones. Different pricing and waiting periods apply depending on the zone.</span></p></div>,ckan API,,Housing and Estates;Transportation,"{'Housing and Estates': ['parking'], 'Transportation': ['car', 'parking']}"
Claimant Count,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/claimant-count,"http://www.nomisweb.co.uk/api/v01/dataset/NM_162_1.data.csv?geography=973079520,973079539,973079516,973079540...973079542,973079522,973079525,973079532,973079517,973079538,973079518,973079519,973079536,973079533,973079521,973079535,973079528,973079537,973079513,973079527,973079544,973079514,973079523,973079530,973079515,973079531,973079529,973079545,973079512,973079546,973079534,973079543,973079524,973079526&date=latestMINUS23-latest&gender=0&age=0...4&measure=1&measures=20100&select=date_name,geography_name,geography_code,gender_name,age_name,measure_name,measures_name,obs_value,obs_status_name",September 2015 - August 2017,2017-09-19T00:00:00.000Z,2019-06-25T00:00:00.000Z,503460,B,CSV,,economic;economic development,,Open Government Licence v3.0,"Adapted from NOMIS, published under the Open Government Licence. This will pull data from October 2015 to the most recent month.",ckan API,,Law and Licensing,{'Law and Licensing': ['licence']}
Code-Point® Open,Ordnance Survey,https://data.pkc.gov.uk/dataset/code-point-open1,https://www.ordnancesurvey.co.uk/business-government/products/code-point-open,Product information,2017-08-25T00:00:00.000Z,2020-04-29T00:00:00.000Z,1185617,B,HTML,,addresses;administrative-codes;location;postcode;postcode-units,,Open Government Licence v3.0,"Code-Point Open is a dataset that contains postcode units, each of which have a precise geographical location. There are approximately 1.7 million postcode units in England, Scotland and Wales. Each postcode unit, such as KY12 8UP or PO14 2RS, contains an average of fifteen adjoining addresses. Northern Ireland postcodes are not available with Code-Point Open.",ckan API,,Housing and Estates;Planning and Development,"{'Housing and Estates': ['postcodes'], 'Planning and Development': ['addresses', 'postcodes']}"
Code-Point® Open,Ordnance Survey,https://data.pkc.gov.uk/dataset/code-point-open1,https://www.ordnancesurvey.co.uk/opendatadownload/products.html#CODEPO,Download,2017-08-25T00:00:00.000Z,2020-04-29T00:00:00.000Z,103600,B,HTML,,addresses;administrative-codes;location;postcode;postcode-units,,Open Government Licence v3.0,"Code-Point Open is a dataset that contains postcode units, each of which have a precise geographical location. There are approximately 1.7 million postcode units in England, Scotland and Wales. Each postcode unit, such as KY12 8UP or PO14 2RS, contains an average of fifteen adjoining addresses. Northern Ireland postcodes are not available with Code-Point Open.",ckan API,,Housing and Estates;Planning and Development,"{'Housing and Estates': ['postcodes'], 'Planning and Development': ['addresses', 'postcodes']}"
Collated Returns from Safer Communities Wardens 2016-2017,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/collated-returns-from-safer-communities-wardens-2016-2017,https://data.pkc.gov.uk/dataset/baaf73d5-5651-46d5-ba1d-3a191ab07984/resource/35bb119f-60c4-406b-9011-244186ad6ec4/download/service-delivery-requests-by-area.csv,Service Delivery Requests by Area,2017-09-07T00:00:00.000Z,2020-07-14T00:00:00.000Z,714,B,CSV,,community,,Open Government Licence v3.0,Collated returns from the Safer Communities team related to the work carried out by the Community Safety Wardens and Investigators - based in four key areas in Perth and Kinross.,ckan API,,Public Safety,"{'Public Safety': ['community safety', 'safety']}"
Collated Returns from Safer Communities Wardens 2016-2017,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/collated-returns-from-safer-communities-wardens-2016-2017,https://data.pkc.gov.uk/dataset/baaf73d5-5651-46d5-ba1d-3a191ab07984/resource/6e5c53ee-3b95-4107-9c35-f26a2f4c1ade/download/service-delivery-requests-by-category.csv,Service Delivery Requests by Category,2017-09-07T00:00:00.000Z,2020-07-14T00:00:00.000Z,9241,B,CSV,,community,,Open Government Licence v3.0,Collated returns from the Safer Communities team related to the work carried out by the Community Safety Wardens and Investigators - based in four key areas in Perth and Kinross.,ckan API,,Public Safety,"{'Public Safety': ['community safety', 'safety']}"
Community Councils 2019,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/community-councils-2019,https://open-data-perth-kinross.hub.arcgis.com/maps/8c7e6a37902743259d84ce95c905b7d0_5,ArcGIS Hub Dataset,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,41327,B,HTML,,community councils;boundaries,,No licence,"<div style='text-align:Left;font-size:12pt'><p><span>Community Council boundaries adopted in November 2019. Also includes a minor change made in January 2020. A Community Council is a voluntary organisation set up by statute by the Local Authority and run by local residents to act on behalf of its area. As the most local tier of elected representation, Community Councils play an important role in local democracy. Some Community Councils are ""not established "" or ""inactive"" so have no representation. Check the PKC website for the latest status (https://www.pkc.gov.uk/communitycouncilcontacts).</span></p></div>",ckan API,,Council and Government;Elections / Politics;Planning and Development,"{'Council and Government': ['boundaries', 'council', 'councils'], 'Elections / Politics': ['community council', 'community councils', 'democracy', 'local authority'], 'Planning and Development': ['boundaries']}"
Community Councils 2019,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/community-councils-2019,https://services-eu1.arcgis.com/WD0cvOmDKf7CA0Xy/arcgis/rest/services/Community_Councils_2019/FeatureServer/5,ArcGIS GeoService,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,6782,B,ARCGIS GEOSERVICE,,community councils;boundaries,,No licence,"<div style='text-align:Left;font-size:12pt'><p><span>Community Council boundaries adopted in November 2019. Also includes a minor change made in January 2020. A Community Council is a voluntary organisation set up by statute by the Local Authority and run by local residents to act on behalf of its area. As the most local tier of elected representation, Community Councils play an important role in local democracy. Some Community Councils are ""not established "" or ""inactive"" so have no representation. Check the PKC website for the latest status (https://www.pkc.gov.uk/communitycouncilcontacts).</span></p></div>",ckan API,,Council and Government;Elections / Politics;Planning and Development,"{'Council and Government': ['boundaries', 'council', 'councils'], 'Elections / Politics': ['community council', 'community councils', 'democracy', 'local authority'], 'Planning and Development': ['boundaries']}"
Community Councils 2019,Perth & Kinross Council,https://data.pkc.gov.uk/dataset/community-councils-2019,https://open-data-perth-kinross.hub.arcgis.com/datasets/8c7e6a37902743259d84ce95c905b7d0_5.csv?outSR=%7B%22latestWkid%22%3A27700%2C%22wkid%22%3A27700%7D,CSV,2023-03-29T00:00:00.000Z,2023-03-29T00:00:00.000Z,0,B,CSV,,community councils;boundaries,,No licence,"<div style='text-align:Left;font-size:12pt'><p><span>Community Council boundaries adopted in November 2019. Also includes a minor change made in January 2020. A Community Council is a voluntary organisation set up by statute by the Local Authority and run by local residents to act on behalf of its area. As the most local tier of elected representation, Community Councils play an important role in local democracy. Some Community Councils are ""not established "" or ""inactive"" so have no representation. Check the PKC website for the latest status (https://www.pkc.gov.uk/communitycouncilcontacts).</span></p></div>",ckan API,,Council and Government;Elections / Politics;Planning and Development,"{'Council and Government': ['boundaries', 'council', 'councils'], 'Elections / Politics': ['community council', 'community councils', 'democracy', 'local authority'], 'Planning and Development': ['boundaries']}"
